Type,Game ID,Game Name,BGG ID,Description,Categories,Deposit,Game Size
missing Description,recuRmJutqLQBkUhk,Unlock!: Extraordinary Adventures,374400,"Unlock! is a cooperative card game inspired by escape rooms that uses a simple system which allows you to search scenes, combine objects, and solve riddles. Play Unlock! to embark on great adventures, while seated at a table using only cards and a companion app that can provide clues, check codes, monitor time remaining, etc.
Unlock! Extraordinary Adventures includes three separate scenarios for you to explore:

    Restart
    Hollywood Confidential
    W.A.F.F.'s Odyssey

Note: Unlock! requires a free application to be downloaded from the App Store or Google Play. Once downloaded, an internet connection is not required during game play.",,,
missing Categories,recHCn3P9VOHUlsMs,Geo Hightower,none,,"Dexterity, Family, Kids",,
missing Mechanisms,rec0urNruiIIJR5ri,Battleships,27190,,,,
missing Mechanisms,recQecauCVU1Rp7iC,Beat That!,290610,,,,
missing Mechanisms,recHCn3P9VOHUlsMs,Geo Hightower,none,,,,
missing Mechanisms,recVhJMXDraW01iJo,Imhotep,36919,,,,
missing Mechanisms,recYfv0Sx7bBwLlPJ,Incohearent ,289020,,,,
missing Mechanisms,recu7KQ8c0EEP3CMe,Insider,16133,,,,
missing Mechanisms,recxrA4By8pxDNTri,Root: The Marauder Expansion,330149,,,,
missing Mechanisms,rec1761481678407ns5b244r2v,Timeline,128664,,,,
missing Mechanisms,recuRmJutqLQBkUhk,Unlock!: Extraordinary Adventures,unlock,,,,
missing Mechanisms,rec0Olmx7RgiJ1dOJ,Wavelength,2745,,,,
missing Deposit,recLRXR5JI9OZG3MA,5 Alive,1961,,,350000,
missing Deposit,rec1761481505106lrkeazqhy2,A Little Wordy,335869,,,500000,
missing Deposit,rec1761217508603vdlar9zc8vi,Ark Nova,342942,,,2500000,
missing Deposit,rec17614809588848anjmzuf6tm,Battle Line,760,,,350000,
missing Deposit,rec9sQcw8jgGcFFhU,Bears vs Babies,211534,,,500000,
missing Deposit,recl45UzuQN6ABNSi,Bohnanza,11,,,500000,
missing Deposit,rec1761483014413dzcavrl9t2,CATAN: Dawn of Humankind,358858,,,2800000,
missing Deposit,recRRbHHjGaMmuOvy,Cheating Moth,105593,,,300000,
missing Deposit,rec17614815736867qs3mn8iom5,Cheese Master,368168,,,300000,
missing Deposit,recxHRVttz8yBirFX,Cockroach Poker Royal,129736,,,300000,
missing Deposit,recJCCYIZ0EuokQpP,Cockroach Salad,32341,,,300000,
missing Deposit,rec1761481909357suy54bne6cm,Codenames: Deep Undercover,205158,,,500000,
missing Deposit,recArRCYijn4cOVpN,Decktective: Bloody-Red Roses,286827,,,300000,
missing Deposit,rec1761483298777cv7gqf38g45,Descent: Legends of the Dark,322708,,,5000000,
missing Deposit,rec1761313581246bafdb8fdu2n,Ghost Blitz | Geistes,83195,,,300000,
missing Deposit,rec1761482614301fyro98suq28,God of War: The Card Game,278120,,,1000000,
missing Deposit,recxV8F6BCCXqIUO3,Good Cop Bad Cop: Promoted,309885,,,300000,
missing Deposit,rec1761483191655eoh0ujmtheb,Home Sweet Home (or Not),358219,,,300000,
missing Deposit,rec17614825209821ay29pbtvjc,Illuminati,28,,,500000,
missing Deposit,rec17614818354125o3n2zg4z42,Loot,770,,,500000,
missing Deposit,rec1761483123804g9svgbwlowl,Pachisi,2136,,,300000,
missing Deposit,recqqLb3DTom8zz8J,Point Salad: Eevee Edition 포인트 샐러드: 이브이에디션,274960,,,1200000,
missing Deposit,rec17614808703877j38halrsi8,Pokémon Trading Card Game: Battle Academy,310953,,,1000000,
missing Deposit,rec1761481144840681iny03gff,Quantik,286295,,,1000000,
missing Deposit,recZm4o8oFbUjBKSC,Raid the Pantry,124918,,,300000,
missing Deposit,rect9l1SskIa9afRT,Red7,161417,,,300000,
missing Deposit,recZ8NTphLUDAnYxT,Rival Restaurants: Back for Seconds,299240,,,500000,
missing Deposit,recguf5S1k7oMF55E,Rory's Story Cubes: Actions,89415,,,300000,
missing Deposit,recm5uBpuJaYwHkrD,Rory's Story Cubes: Voyages,115233,,,300000,
missing Deposit,rec1761482955184212sz5cme4e,Scotland Yard,438,,,2000000,
missing Deposit,rec17614819754570z5ccseu3cxj,Scrabble,320,,,500000,
missing Deposit,rec176140432286472h6q6ey6x5,Shadow Hunters (Tiếng Việt),24068,,,300000,
missing Deposit,rec1761482663679v1gp3erwo9m,Spyfall,166384,,,500000,
missing Deposit,rec176148118452621rv05qyq7s,Squadro,245222,,,1000000,
missing Deposit,recVI5uoDZpI3F8jm,Take 5 (6 nimbt),432,,,300000,
missing Deposit,rec1761482573639z3p6qkwnui,Telestrations: Upside Drawn,302463,,,1000000,
missing Deposit,rec176148203519879mrfghk1tr,The Sherlock Files: Vol II – Curious Capers,315044,,,500000,
missing Deposit,rec1761483349415l057eoo1m99,The Shivers,287411,,,3500000,
missing Deposit,rec1761481035965yqsuq50lfsp,Time Bomb (Japanese),236217,,,1000000,
missing Deposit,rec1761481678407ns5b244r2v,Timeline,128664,,,500000,
missing Deposit,rec2rbsM07yLZTAq7,Tiny Epic Dinosaurs,291508,,,1500000,
missing Deposit,rec44YN9ydM6idyRA,Tiny Epic Galaxies,163967,,,1500000,
missing Deposit,rec1761482886956s3wzrndid7,Two Rooms and a Boom,134352,,,500000,
missing Deposit,reczaljfHIxjzJarZ,Unstable Unicorns: NSFW Pack,240976,,,300000,
missing Deposit,rec176148283137907ml30yrogzh,War on Terror: The Boardgame,24396,,,2500000,
missing Deposit,rec1761483070647s9xjo1st1lo,Xiangqi (Chinese Chess),2393,,,300000,
missing Game Size,rec1761481505106lrkeazqhy2,A Little Wordy,335869,,,,2
missing Game Size,rec1761217508603vdlar9zc8vi,Ark Nova,342942,,,,5
missing Game Size,rec17614809588848anjmzuf6tm,Battle Line,760,,,,1
missing Game Size,rec1761483014413dzcavrl9t2,CATAN: Dawn of Humankind,358858,,,,4
missing Game Size,recRRbHHjGaMmuOvy,Cheating Moth,105593,,,,1
missing Game Size,rec17614815736867qs3mn8iom5,Cheese Master,368168,,,,1
missing Game Size,rec1761481909357suy54bne6cm,Codenames: Deep Undercover,205158,,,,2
missing Game Size,rec1761483298777cv7gqf38g45,Descent: Legends of the Dark,322708,,,,5
missing Game Size,rec1761313581246bafdb8fdu2n,Ghost Blitz | Geistes,83195,,,,1
missing Game Size,rec1761482614301fyro98suq28,God of War: The Card Game,278120,,,,3
missing Game Size,recxV8F6BCCXqIUO3,Good Cop Bad Cop: Promoted,309885,,,,1
missing Game Size,rec1761483191655eoh0ujmtheb,Home Sweet Home (or Not),358219,,,,2
missing Game Size,rec17614825209821ay29pbtvjc,Illuminati,28,,,,2
missing Game Size,rec17614818354125o3n2zg4z42,Loot,770,,,,1
missing Game Size,rec1761483123804g9svgbwlowl,Pachisi,2136,,,,2
missing Game Size,recqqLb3DTom8zz8J,Point Salad: Eevee Edition 포인트 샐러드: 이브이에디션,274960,,,,2
missing Game Size,rec17614808703877j38halrsi8,Pokémon Trading Card Game: Battle Academy,310953,,,,4
missing Game Size,rec1761481144840681iny03gff,Quantik,286295,,,,3
missing Game Size,rec1761482955184212sz5cme4e,Scotland Yard,438,,,,2
missing Game Size,rec17614819754570z5ccseu3cxj,Scrabble,320,,,,2
missing Game Size,rec176140432286472h6q6ey6x5,Shadow Hunters (Tiếng Việt),24068,,,,1
missing Game Size,rec1761482663679v1gp3erwo9m,Spyfall,166384,,,,1
missing Game Size,rec176148118452621rv05qyq7s,Squadro,245222,,,,2
missing Game Size,rec1761482573639z3p6qkwnui,Telestrations: Upside Drawn,302463,,,,2
missing Game Size,rec176148203519879mrfghk1tr,The Sherlock Files: Vol II – Curious Capers,315044,,,,2
missing Game Size,rec1761483349415l057eoo1m99,The Shivers,287411,,,,5
missing Game Size,rec1761481035965yqsuq50lfsp,Time Bomb (Japanese),236217,,,,2
missing Game Size,rec1761481678407ns5b244r2v,Timeline,128664,,,,1
missing Game Size,rec1761482886956s3wzrndid7,Two Rooms and a Boom,134352,,,,2
missing Game Size,rec176148283137907ml30yrogzh,War on Terror: The Boardgame,24396,,,,3
missing Game Size,rec1761483070647s9xjo1st1lo,Xiangqi (Chinese Chess),2393,,,,2
missing Cost Price,recLRXR5JI9OZG3MA,5 Alive,1961,,,,
missing Cost Price,recoXfFNXKhgp6JLK,A Game of Thrones: Catan – Brotherhood of the Watch,229218,,,,
missing Cost Price,rec1761481505106lrkeazqhy2,A Little Wordy,335869,,,,
missing Cost Price,rec1761217508603vdlar9zc8vi,Ark Nova,342942,,,,
missing Cost Price,recHA082QpllVARCH,Azul Duel,431038,,,,
missing Cost Price,rec8CBJRXtok7wsLL,Bang!,3955,,,,
missing Cost Price,rec17614809588848anjmzuf6tm,Battle Line,760,,,,
missing Cost Price,rec9sQcw8jgGcFFhU,Bears vs Babies,211534,,,,
missing Cost Price,recBp8YoYoQRv1jZ3,Blood on the Clocktower,240980,,,,
missing Cost Price,recl45UzuQN6ABNSi,Bohnanza,11,,,,
missing Cost Price,reciHhKPpLkkIahqK,boop.,355433,,,,
missing Cost Price,recNtUeY1SoTMqjEI,Bosk,252556,,,,
missing Cost Price,rec4Zd2zDvKhmTynn,Brass Birmingham,224517,,,,
missing Cost Price,recN8BqFoXwcS8UsA,Calico,283155,,,,
missing Cost Price,rec9xSrFIB1eCWpgY,Canvas,290236,,,,
missing Cost Price,reci0mLYxrj9TRbQM,Captain Carcass: Dead Man's Draw,149155,,,,
missing Cost Price,recCK3P7UdJGTI4K8,Captain Sonar,171131,,,,
missing Cost Price,rec18CMIsa97VIpgX,Cards Against Humanity,50381,,,,
missing Cost Price,rec5Xn4pkBitqMXsl,Catan,13,,,,
missing Cost Price,recjhpVwfz05zL5x3,Catan 5-6 Player Expansion,2807,,,,
missing Cost Price,recybnP8dvq9XaTKv,Catan: Cities and Knights,926,,,,
missing Cost Price,rec1761483014413dzcavrl9t2,CATAN: Dawn of Humankind,358858,,,,
missing Cost Price,recxWgdTMuMI0ROL2,Century Golem: Eastern Mountain,283619,,,,
missing Cost Price,recRRbHHjGaMmuOvy,Cheating Moth,105593,,,,
missing Cost Price,rec17614815736867qs3mn8iom5,Cheese Master,368168,,,,
missing Cost Price,recHp2KOKMWPqlgzY,Chess,171,,,,
missing Cost Price,recQMJ7fQCkcetrGE,Chinatown,47,,,,
missing Cost Price,recIzlStk4Vbey15d,Citadels,205398,,,,
missing Cost Price,recOkxAcQj8VvsSmE,Cluedo Harry Potter Edition,38026,,,,
missing Cost Price,reciO5Dd6bdd9BNYQ,Cluedo Suspect,88922,,,,
missing Cost Price,recBVoPNEDS0LNzHw,Cockroach Poker,11971,,,,
missing Cost Price,recxHRVttz8yBirFX,Cockroach Poker Royal,129736,,,,
missing Cost Price,recJCCYIZ0EuokQpP,Cockroach Salad,32341,,,,
missing Cost Price,rec1gYVB4uM3eqGm0,CodeNames,178900,,,,
missing Cost Price,rec1761481909357suy54bne6cm,Codenames: Deep Undercover,205158,,,,
missing Cost Price,recJmsypRr4I5vlE5,Concept,147151,,,,
missing Cost Price,recfwjUzFxW7Iu5yD,Coup Rebellion Anarchy G54,181372,,,,
missing Cost Price,recjWEtVY8TMHomwn,Coup Reformation Expansion,148931,,,,
missing Cost Price,recDur4irkGwTGwqK,Cover Your Assets,121193,,,,
missing Cost Price,recbz36cOOPeHE0LK,Coyote,8172,,,,
missing Cost Price,rec0UJhLV39gcKBkx,Cryptocurrency,243694,,,,
missing Cost Price,recUsYNShnYOvjcUB,Deception: Murder in Hong Kong / CS:File,156129,,,,
missing Cost Price,recArRCYijn4cOVpN,Decktective: Bloody-Red Roses,286827,,,,
missing Cost Price,recK3ZHmsKvf3Qrj7,Decrypto,65952,,,,
missing Cost Price,recfh5uTwn4GlY6cz,Deep Dive,329828,,,,
missing Cost Price,rec1761483298777cv7gqf38g45,Descent: Legends of the Dark,322708,,,,
missing Cost Price,recOgl2yVP0bpJojw,Dixit,39856,,,,
missing Cost Price,recPWdODA5TT9e1Ti,Dobble: Harry Potter Spot it!,63268,,,,
missing Cost Price,recZleUU5fkx4wlGz,Dominion 2nd Edition,209418,,,,
missing Cost Price,recp5VUjIBRTr0oTx,Dorfromantik: The Board Game ,370591,,,,
missing Cost Price,recCc7ZBc9jNLzYrW,Dungeon Mayhem,260300,,,,
missing Cost Price,rec6XI5dMZlrDlGDu,Exploding Kitten,172225,,,,
missing Cost Price,recwh39BAOWqGxvfW,Exploding Kittens: Imploding Kittens,204053,,,,
missing Cost Price,recBbI3ZnS2P4AjFu,Exploding Kittens: Recipes for Disaster,343282,,,,
missing Cost Price,recItv4g5zpEZpFoy,For Sale,172,,,,
missing Cost Price,rec49NrD4GZAoZPzV,Furnace,318084,,,,
missing Cost Price,recHCn3P9VOHUlsMs,Geo Hightower,none,,,,
missing Cost Price,rec1761313581246bafdb8fdu2n,Ghost Blitz | Geistes,83195,,,,
missing Cost Price,recBLpzySXdjPG7sj,Gizmos (Tiếng Việt),246192,,,,
missing Cost Price,recFBLuDhvdS9Xv4U,Gloomhaven: Jaws of the Lion,291457,,,,
missing Cost Price,recTGqa7CHHryXsgc,Go,188,,,,
missing Cost Price,rec1761482614301fyro98suq28,God of War: The Card Game,278120,,,,
missing Cost Price,rec32tUwlYvpcmWsZ,Good Cop Bad Cop ,153064,,,,
missing Cost Price,recYsudVww0GYJuMX,Good Cop Bad Cop: Bombers and Traitors,168037,,,,
missing Cost Price,recxV8F6BCCXqIUO3,Good Cop Bad Cop: Promoted,309885,,,,
missing Cost Price,recyL6ozAx9vSFg8W,Good Cop Bad Cop: Undercover,188154,,,,
missing Cost Price,recWO9qx2tQdyH6kf,Hanabi,98778,,,,
missing Cost Price,recyydu4NrljefID8,Hands,171950,,,,
